review_id,image_path,visual_first_hop_claim,correct_evidence_natural_language,correct_evidence_triples,corrupted_evidence_natural_language,corrupted_evidence_triples,question,semantic_candidates,proposed_joint_answer,proposed_corrupted_answer
CVR-005,data/construct_v2/images/cf727177-5bb7-5814-97bd-667fedb0540b.png,The amber trapezoid is north of the amber crescent.,The amber crescent is east of the gray triangle.,"(amber crescent, east_of, gray triangle)",The amber crescent is west of the gray triangle.,"(amber crescent, west_of, gray triangle)",Which relation describes the amber trapezoid relative to the gray triangle?,southeast | southwest | northwest | northeast,northeast,northwest
CVR-039,data/construct_v2/images/152dcc8d-539e-5b05-b061-4bd4aeb33203.png,The red octagon is south of the green star.,The green star is east of the indigo star.,"(green star, east_of, indigo star)",The green star is west of the indigo star.,"(green star, west_of, indigo star)",Locate the red octagon in relation to the indigo star.,northwest | northeast | southeast | southwest,southeast,southwest
CVR-031,data/construct_v2/images/7fc37075-ddb8-55e0-b6ea-5b65bda561e5.png,The green pentagon is west of the gold octagon.,The gold octagon is north of the violet circle.,"(gold octagon, north_of, violet circle)",The gold octagon is south of the violet circle.,"(gold octagon, south_of, violet circle)",Locate the green pentagon in relation to the violet circle.,northwest | northeast | southeast | southwest,northwest,southwest
CVR-047,data/construct_v2/images/753ccec7-6ae3-5953-91ea-2241cad5d46a.png,The coral oval is south of the indigo hexagon.,The indigo hexagon is east of the blue circle.,"(indigo hexagon, east_of, blue circle)",The indigo hexagon is west of the blue circle.,"(indigo hexagon, west_of, blue circle)",Which relation describes the coral oval relative to the blue circle?,southeast | southwest | northwest | northeast,southeast,southwest
CVR-033,data/construct_v2/images/04b8de27-132f-5ad6-b637-c0882adc03a6.png,The coral triangle is south of the violet trapezoid.,The violet trapezoid is east of the teal oval.,"(violet trapezoid, east_of, teal oval)",The violet trapezoid is west of the teal oval.,"(violet trapezoid, west_of, teal oval)",Locate the coral triangle in relation to the teal oval.,northwest | northeast | southeast | southwest,southeast,southwest
CVR-063,data/construct_v2/images/992c0503-cec0-5be8-a83b-4ba2e62b836d.png,The gray hexagon is west of the teal circle.,The teal circle is south of the violet circle.,"(teal circle, south_of, violet circle)",The teal circle is north of the violet circle.,"(teal circle, north_of, violet circle)",Where is the gray hexagon relative to the violet circle?,southwest | northwest | northeast | southeast,southwest,northwest
CVR-021,data/construct_v2/images/51ba52ea-67f1-5c38-9e0f-96b3cbb0041a.png,The blue star is north of the brown trapezoid.,The brown trapezoid is west of the violet diamond.,"(brown trapezoid, west_of, violet diamond)",The brown trapezoid is east of the violet diamond.,"(brown trapezoid, east_of, violet diamond)",What is the direction of the blue star from the violet diamond?,northeast | southeast | southwest | northwest,northwest,northeast
CVR-070,data/construct_v2_review/images/CVR-070.png,The pink triangle is south of the gray triangle.,The gray triangle or the gold square is west of the green cross.,"(gray triangle, west_of, green cross)",The gray triangle is east of the green cross.,"(gray triangle, east_of, green cross)",Which relation describes the pink triangle relative to the green cross?,southeast | southwest | northwest | northeast,southwest,southeast
CVR-042,data/construct_v2/images/de9695f4-757f-56c8-9d01-b6c32d035ad9.png,The teal circle is east of the gray hexagon.,The gray hexagon is south of the amber triangle.,"(gray hexagon, south_of, amber triangle)",The gray hexagon is north of the amber triangle.,"(gray hexagon, north_of, amber triangle)",Locate the teal circle in relation to the amber triangle.,northwest | northeast | southeast | southwest,southeast,northeast
CVR-061,data/construct_v2/images/7253652f-0abc-59f2-9411-76470e410c7f.png,The gray oval is south of the amber hexagon.,The amber hexagon is west of the red oval.,"(amber hexagon, west_of, red oval)",The amber hexagon is east of the red oval.,"(amber hexagon, east_of, red oval)",Where is the gray oval relative to the red oval?,southwest | northwest | northeast | southeast,southwest,southeast
CVR-034,data/construct_v2/images/da151c6e-e1c0-5aa9-ba9a-13be20d9027f.png,The gray cross is east of the gray star.,The gray star is south of the green oval.,"(gray star, south_of, green oval)",The gray star is north of the green oval.,"(gray star, north_of, green oval)",Which relation describes the gray cross relative to the green oval?,southeast | southwest | northwest | northeast,southeast,northeast
CVR-045,data/construct_v2/images/ac38e6da-d8da-5458-8c5f-1dbe59e8b6c2.png,The gold oval is south of the gold star.,The gold star is east of the amber square.,"(gold star, east_of, amber square)",The gold star is west of the amber square.,"(gold star, west_of, amber square)",Locate the gold oval in relation to the amber square.,northwest | northeast | southeast | southwest,southeast,southwest
CVR-038,data/construct_v2/images/07533703-0fd7-51de-8782-1e45323dc334.png,The blue crescent is south of the blue trapezoid.,The blue trapezoid is east of the violet hexagon.,"(blue trapezoid, east_of, violet hexagon)",The blue trapezoid is west of the violet hexagon.,"(blue trapezoid, west_of, violet hexagon)",Locate the blue crescent in relation to the violet hexagon.,northwest | northeast | southeast | southwest,southeast,southwest
CVR-037,data/construct_v2/images/32b542ee-7ad0-5950-af4a-114911f5ef65.png,The green square is south of the gold hexagon.,The gold hexagon is east of the green pentagon.,"(gold hexagon, east_of, green pentagon)",The gold hexagon is west of the green pentagon.,"(gold hexagon, west_of, green pentagon)",Which relation describes the green square relative to the green pentagon?,southeast | southwest | northwest | northeast,southeast,southwest
CVR-057,data/construct_v2/images/47813688-0e43-5ec5-bfb7-82a9144e83f1.png,The red crescent is west of the brown trapezoid.,The brown trapezoid is south of the red oval.,"(brown trapezoid, south_of, red oval)",The brown trapezoid is north of the red oval.,"(brown trapezoid, north_of, red oval)",Where is the red crescent relative to the red oval?,southwest | northwest | northeast | southeast,southwest,northwest
CVR-008,data/construct_v2/images/f247da2e-e159-55c0-b6a1-ed28f9b9ceaa.png,The green pentagon is north of the gray crescent.,The gray crescent is east of the coral diamond.,"(gray crescent, east_of, coral diamond)",The gray crescent is west of the coral diamond.,"(gray crescent, west_of, coral diamond)",Where is the green pentagon relative to the coral diamond?,southwest | northwest | northeast | southeast,northeast,northwest
CVR-028,data/construct_v2/images/21f2bd3a-4cf1-5e60-9705-736490974856.png,The green square is west of the gold hexagon.,The gold hexagon is north of the green pentagon.,"(gold hexagon, north_of, green pentagon)",The gold hexagon is south of the green pentagon.,"(gold hexagon, south_of, green pentagon)",Which relation describes the green square relative to the green pentagon?,southeast | southwest | northwest | northeast,northwest,southwest
CVR-011,data/construct_v2/images/919f74ad-3a65-580d-8225-3f4fb3ccba85.png,The red crescent is north of the blue trapezoid.,The blue trapezoid is east of the gold trapezoid.,"(blue trapezoid, east_of, gold trapezoid)",The blue trapezoid is west of the gold trapezoid.,"(blue trapezoid, west_of, gold trapezoid)",Locate the red crescent in relation to the gold trapezoid.,northwest | northeast | southeast | southwest,northeast,northwest
CVR-025,data/construct_v2/images/bf2cf06d-1d52-5f33-8011-c5d43691e7a3.png,The amber crescent is north of the brown hexagon.,The brown hexagon is west of the teal square.,"(brown hexagon, west_of, teal square)",The brown hexagon is east of the teal square.,"(brown hexagon, east_of, teal square)",Locate the amber crescent in relation to the teal square.,northwest | northeast | southeast | southwest,northwest,northeast
CVR-036,data/construct_v2/images/acb6576f-971f-596e-af78-795f10df278d.png,The teal circle is east of the indigo cross.,The indigo cross is south of the indigo circle.,"(indigo cross, south_of, indigo circle)",The indigo cross is north of the indigo circle.,"(indigo cross, north_of, indigo circle)",Which relation describes the teal circle relative to the indigo circle?,southeast | southwest | northwest | northeast,southeast,northeast
CVR-074,data/construct_v2_review/images/CVR-074.png,The amber triangle is west of the brown pentagon.,The brown pentagon is north of the gold octagon.,"(brown pentagon, north_of, gold octagon)",The brown pentagon is south of the gold octagon.,"(brown pentagon, south_of, gold octagon)",Where is the amber triangle relative to the gold octagon?,southwest | northwest | northeast | southeast,northwest,southwest
CVR-069,data/construct_v2_review/images/CVR-069.png,The coral trapezoid is south of the amber diamond.,The amber diamond or the violet square is east of the violet cross.,"(amber diamond, east_of, violet cross)",The amber diamond is west of the violet cross.,"(amber diamond, west_of, violet cross)",Locate the coral trapezoid in relation to the violet cross.,northwest | northeast | southeast | southwest,southeast,southwest
CVR-012,data/construct_v2/images/42b62efb-1c80-5b2d-91a3-dfed8e4e0b2a.png,The blue diamond is north of the blue triangle.,The blue triangle is east of the red star.,"(blue triangle, east_of, red star)",The blue triangle is west of the red star.,"(blue triangle, west_of, red star)",Which relation describes the blue diamond relative to the red star?,southeast | southwest | northwest | northeast,northeast,northwest
CVR-050,data/construct_v2/images/d57c4f47-cc1d-5dfb-96b1-afecaccfe588.png,The violet triangle is west of the red diamond.,The red diamond is south of the green triangle.,"(red diamond, south_of, green triangle)",The red diamond is north of the green triangle.,"(red diamond, north_of, green triangle)",Locate the violet triangle in relation to the green triangle.,northwest | northeast | southeast | southwest,southwest,northwest
CVR-022,data/construct_v2/images/ca0f7c20-ecea-50f3-9d81-6f8daef065e1.png,The gray hexagon is north of the green triangle.,The green triangle is west of the brown diamond.,"(green triangle, west_of, brown diamond)",The green triangle is east of the brown diamond.,"(green triangle, east_of, brown diamond)",Which relation describes the gray hexagon relative to the brown diamond?,southeast | southwest | northwest | northeast,northwest,northeast
CVR-041,data/construct_v2/images/51e146fc-d04e-55fd-9598-da5962d3fdb7.png,The pink hexagon is east of the indigo triangle.,The indigo triangle is south of the amber hexagon.,"(indigo triangle, south_of, amber hexagon)",The indigo triangle is north of the amber hexagon.,"(indigo triangle, north_of, amber hexagon)",What is the direction of the pink hexagon from the amber hexagon?,northeast | southeast | southwest | northwest,southeast,northeast
CVR-002,data/construct_v2/images/c8acf0a7-9637-5235-94ea-6ef903695f3a.png,The coral oval is east of the green cross.,The green cross is north of the blue pentagon.,"(green cross, north_of, blue pentagon)",The green cross is south of the blue pentagon.,"(green cross, south_of, blue pentagon)",Which relation describes the coral oval relative to the blue pentagon?,southeast | southwest | northwest | northeast,northeast,southeast
CVR-078,data/construct_v2_review/images/CVR-078.png,The pink cross is north of the indigo triangle.,The indigo triangle is west of the teal hexagon.,"(indigo triangle, west_of, teal hexagon)",The blue crescent is east of the teal hexagon.,"(blue crescent, east_of, teal hexagon)",What is the direction of the pink cross from the teal hexagon?,northeast | southeast | southwest | northwest,northwest,northeast
CVR-051,data/construct_v2/images/257758de-aa8c-5f09-b103-21f61aac1e9b.png,The gold oval is west of the gold star.,The gold star is south of the amber square.,"(gold star, south_of, amber square)",The gold star is north of the amber square.,"(gold star, north_of, amber square)",Locate the gold oval in relation to the amber square.,northwest | northeast | southeast | southwest,southwest,northwest
CVR-006,data/construct_v2/images/77319f03-ddaa-532f-8375-34f039a0d47b.png,The coral hexagon is north of the indigo hexagon.,The indigo hexagon is east of the gold circle.,"(indigo hexagon, east_of, gold circle)",The indigo hexagon is west of the gold circle.,"(indigo hexagon, west_of, gold circle)",Locate the coral hexagon in relation to the gold circle.,northwest | northeast | southeast | southwest,northeast,northwest
CVR-027,data/construct_v2/images/11c7919c-9491-5ecb-8a28-1d81378f01e0.png,The brown pentagon is north of the pink oval.,The pink oval is west of the teal cross.,"(pink oval, west_of, teal cross)",The pink oval is east of the teal cross.,"(pink oval, east_of, teal cross)",Which relation describes the brown pentagon relative to the teal cross?,southeast | southwest | northwest | northeast,northwest,northeast
CVR-076,data/construct_v2_review/images/CVR-076.png,The indigo triangle is east of the brown star.,The brown star is south of the brown circle.,"(brown star, south_of, brown circle)",The brown star is north of the brown circle.,"(brown star, north_of, brown circle)",What is the direction of the indigo triangle from the brown circle?,northeast | southeast | southwest | northwest,southeast,northeast
CVR-040,data/construct_v2/images/4fc9da90-0f46-5695-9de6-d99a13e83229.png,The amber pentagon is east of the gold diamond.,The gold diamond is south of the coral oval.,"(gold diamond, south_of, coral oval)",The gold diamond is north of the coral oval.,"(gold diamond, north_of, coral oval)",What is the direction of the amber pentagon from the coral oval?,northeast | southeast | southwest | northwest,southeast,northeast
CVR-059,data/construct_v2/images/072af6b4-c5b9-5a94-a087-f5e9586e96fa.png,The pink trapezoid is south of the pink diamond.,The pink diamond is west of the pink square.,"(pink diamond, west_of, pink square)",The pink diamond is east of the pink square.,"(pink diamond, east_of, pink square)",Locate the pink trapezoid in relation to the pink square.,northwest | northeast | southeast | southwest,southwest,southeast
CVR-044,data/construct_v2/images/f51cf8f9-88a6-5a74-b4a9-5a72385b3714.png,The coral oval is south of the green cross.,The green cross is east of the blue pentagon.,"(green cross, east_of, blue pentagon)",The green cross is west of the blue pentagon.,"(green cross, west_of, blue pentagon)",Which relation describes the coral oval relative to the blue pentagon?,southeast | southwest | northwest | northeast,southeast,southwest
CVR-043,data/construct_v2/images/092b28c0-f810-5c6f-817b-9a5918148a0e.png,The brown oval is south of the coral triangle.,The coral triangle is east of the gold triangle.,"(coral triangle, east_of, gold triangle)",The coral triangle is west of the gold triangle.,"(coral triangle, west_of, gold triangle)",Which relation describes the brown oval relative to the gold triangle?,southeast | southwest | northwest | northeast,southeast,southwest
CVR-014,data/construct_v2/images/a146478a-24a3-50b4-a6d7-1511d47744eb.png,The red triangle is east of the gray pentagon.,The gray pentagon is north of the violet diamond.,"(gray pentagon, north_of, violet diamond)",The gray pentagon is south of the violet diamond.,"(gray pentagon, south_of, violet diamond)",Where is the red triangle relative to the violet diamond?,southwest | northwest | northeast | southeast,northeast,southeast
CVR-058,data/construct_v2/images/cd9687e5-e4ca-5813-a1ca-23b11ffb09c0.png,The brown pentagon is west of the pink oval.,The pink oval is south of the teal cross.,"(pink oval, south_of, teal cross)",The pink oval is north of the teal cross.,"(pink oval, north_of, teal cross)",Which relation describes the brown pentagon relative to the teal cross?,southeast | southwest | northwest | northeast,southwest,northwest
CVR-009,data/construct_v2/images/9650a176-a9e8-5c05-b0ad-cf2784174b47.png,The blue star is north of the red diamond.,The red diamond is east of the green triangle.,"(red diamond, east_of, green triangle)",The red diamond is west of the green triangle.,"(red diamond, west_of, green triangle)",Where is the blue star relative to the green triangle?,southwest | northwest | northeast | southeast,northeast,northwest
CVR-056,data/construct_v2/images/34ca395d-89b9-5134-a6f3-7a9571624eb1.png,The blue square is south of the indigo octagon.,The indigo octagon is west of the brown oval.,"(indigo octagon, west_of, brown oval)",The indigo octagon is east of the brown oval.,"(indigo octagon, east_of, brown oval)",Where is the blue square relative to the brown oval?,southwest | northwest | northeast | southeast,southwest,southeast
CVR-007,data/construct_v2/images/24753efc-19b2-5c53-a1f9-8fef1ba7ab8b.png,The indigo trapezoid is east of the gold trapezoid.,The gold trapezoid is north of the gray trapezoid.,"(gold trapezoid, north_of, gray trapezoid)",The gold trapezoid is south of the gray trapezoid.,"(gold trapezoid, south_of, gray trapezoid)",Locate the indigo trapezoid in relation to the gray trapezoid.,northwest | northeast | southeast | southwest,northeast,southeast
CVR-018,data/construct_v2/images/a3119c03-c3df-500b-ae1d-eea8691ae037.png,The gray oval is north of the amber hexagon.,The amber hexagon is west of the red oval.,"(amber hexagon, west_of, red oval)",The amber hexagon is east of the red oval.,"(amber hexagon, east_of, red oval)",Where is the gray oval relative to the red oval?,southwest | northwest | northeast | southeast,northwest,northeast
CVR-048,data/construct_v2/images/c5c9a0fd-e397-5afd-a72d-feaa6e97a824.png,The indigo hexagon is south of the teal octagon.,The teal octagon is east of the amber circle.,"(teal octagon, east_of, amber circle)",The teal octagon is west of the amber circle.,"(teal octagon, west_of, amber circle)",Locate the indigo hexagon in relation to the amber circle.,northwest | northeast | southeast | southwest,southeast,southwest
CVR-065,data/construct_v2_review/images/CVR-065.png,The indigo triangle is west of the blue star.,The blue star is south of the pink hexagon.,"(blue star, south_of, pink hexagon)",The blue star is north of the pink hexagon.,"(blue star, north_of, pink hexagon)",What is the direction of the indigo triangle from the pink hexagon?,northeast | southeast | southwest | northwest,southeast,northeast
CVR-052,data/construct_v2/images/8fd905e4-9da3-5055-9917-ed1950b80833.png,The green star is west of the pink hexagon.,The pink hexagon is south of the violet diamond.,"(pink hexagon, south_of, violet diamond)",The pink hexagon is north of the violet diamond.,"(pink hexagon, north_of, violet diamond)",Locate the green star in relation to the violet diamond.,northwest | northeast | southeast | southwest,southwest,northwest
CVR-010,data/construct_v2/images/0e66ff50-9057-5203-97cb-f726180dca78.png,The amber octagon is east of the teal diamond.,The teal diamond is north of the green cross.,"(teal diamond, north_of, green cross)",The teal diamond is south of the green cross.,"(teal diamond, south_of, green cross)",What is the direction of the amber octagon from the green cross?,northeast | southeast | southwest | northwest,northeast,southeast
CVR-046,data/construct_v2/images/b02dee9b-91c6-52a3-a9a7-3ef648adc8dd.png,The gray crescent is south of the blue star.,The blue star is east of the indigo hexagon.,"(blue star, east_of, indigo hexagon)",The blue star is west of the indigo hexagon.,"(blue star, west_of, indigo hexagon)",Which relation describes the gray crescent relative to the indigo hexagon?,southeast | southwest | northwest | northeast,southeast,southwest
CVR-024,data/construct_v2/images/7cde39a9-271b-5254-9676-9ee9bab05785.png,The blue pentagon is north of the teal cross.,The teal cross is west of the indigo triangle.,"(teal cross, west_of, indigo triangle)",The teal cross is east of the indigo triangle.,"(teal cross, east_of, indigo triangle)",Which relation describes the blue pentagon relative to the indigo triangle?,southeast | southwest | northwest | northeast,northwest,northeast
CVR-055,data/construct_v2/images/aabee896-024e-5862-bce9-30d990291fa9.png,The red crescent is west of the green octagon.,The green octagon is south of the brown crescent.,"(green octagon, south_of, brown crescent)",The green octagon is north of the brown crescent.,"(green octagon, north_of, brown crescent)",Where is the red crescent relative to the brown crescent?,southwest | northwest | northeast | southeast,southwest,northwest
CVR-062,data/construct_v2/images/8d351d65-7d7d-5ffe-9117-2d71242a6178.png,The gold cross is south of the red pentagon.,The red pentagon is west of the blue octagon.,"(red pentagon, west_of, blue octagon)",The red pentagon is east of the blue octagon.,"(red pentagon, east_of, blue octagon)",What is the direction of the gold cross from the blue octagon?,northeast | southeast | southwest | northwest,southwest,southeast
CVR-077,data/construct_v2_review/images/CVR-077.png,The brown pentagon is north of the gray octagon.,The gray octagon is west of the indigo circle.,"(gray octagon, west_of, indigo circle)",The brown crescent is east of the indigo circle.,"(brown crescent, east_of, indigo circle)",Locate the brown pentagon in relation to the indigo circle.,northwest | northeast | southeast | southwest,northwest,northeast
CVR-003,data/construct_v2/images/9b29fd59-665f-5680-8e1e-cbc61a206fd9.png,The gray cross is east of the green triangle.,The green triangle is north of the indigo oval.,"(green triangle, north_of, indigo oval)",The green triangle is south of the indigo oval.,"(green triangle, south_of, indigo oval)",Where is the gray cross relative to the indigo oval?,southwest | northwest | northeast | southeast,northeast,southeast
CVR-064,data/construct_v2/images/7f3fd6e0-8371-5ec2-bd2d-e4e54c673389.png,The blue star is south of the brown trapezoid.,The brown trapezoid is west of the violet diamond.,"(brown trapezoid, west_of, violet diamond)",The brown trapezoid is east of the violet diamond.,"(brown trapezoid, east_of, violet diamond)",What is the direction of the blue star from the violet diamond?,northeast | southeast | southwest | northwest,southwest,southeast
CVR-001,data/construct_v2/images/9834b00f-4b4c-57b0-a559-5c25d2b57e9e.png,The brown cross is east of the gold triangle.,The gold triangle is north of the gray trapezoid.,"(gold triangle, north_of, gray trapezoid)",The gold triangle is south of the gray trapezoid.,"(gold triangle, south_of, gray trapezoid)",Which relation describes the brown cross relative to the gray trapezoid?,southeast | southwest | northwest | northeast,northeast,southeast
CVR-004,data/construct_v2/images/baf24990-43ab-5200-84c6-4645d4b44fb4.png,The coral pentagon is north of the indigo octagon.,The indigo octagon is east of the brown hexagon.,"(indigo octagon, east_of, brown hexagon)",The indigo octagon is west of the brown hexagon.,"(indigo octagon, west_of, brown hexagon)",Where is the coral pentagon relative to the brown hexagon?,southwest | northwest | northeast | southeast,northeast,northwest
CVR-026,data/construct_v2/images/dc795481-6b4f-55fb-9397-2b4edcd5f744.png,The indigo circle is north of the amber cross.,The amber cross is west of the red diamond.,"(amber cross, west_of, red diamond)",The amber cross is east of the red diamond.,"(amber cross, east_of, red diamond)",What is the direction of the indigo circle from the red diamond?,northeast | southeast | southwest | northwest,northwest,northeast
CVR-032,data/construct_v2/images/10415369-3f34-5f95-91b6-eca6f0a7e14a.png,The red octagon is north of the indigo triangle.,The indigo triangle is west of the red hexagon.,"(indigo triangle, west_of, red hexagon)",The indigo triangle is east of the red hexagon.,"(indigo triangle, east_of, red hexagon)",Locate the red octagon in relation to the red hexagon.,northwest | northeast | southeast | southwest,northwest,northeast
CVR-080,data/construct_v2_review/images/CVR-080.png,The brown square is east of the violet cross.,The violet cross is north of the amber pentagon.,"(violet cross, north_of, amber pentagon)",The gold hexagon is south of the amber pentagon.,"(gold hexagon, south_of, amber pentagon)",Locate the brown square in relation to the amber pentagon.,northwest | northeast | southeast | southwest,northeast,southeast
CVR-067,data/construct_v2_review/images/CVR-067.png,The violet square is south of the green star.,The green star is east of the blue trapezoid.,"(green star, east_of, blue trapezoid)",The green star is west of the blue trapezoid.,"(green star, west_of, blue trapezoid)",Locate the violet square in relation to the blue trapezoid.,northwest | northeast | southeast | southwest,northeast,northwest
CVR-066,data/construct_v2_review/images/CVR-066.png,The pink circle is south of the brown hexagon.,The brown hexagon is west of the indigo star.,"(brown hexagon, west_of, indigo star)",The brown hexagon is east of the indigo star.,"(brown hexagon, east_of, indigo star)",What is the direction of the pink circle from the indigo star?,northeast | southeast | southwest | northwest,northwest,northeast
CVR-016,data/construct_v2/images/67593afd-17f6-544a-a4c8-42a165bd1844.png,The brown octagon is east of the teal trapezoid.,The teal trapezoid is north of the green pentagon.,"(teal trapezoid, north_of, green pentagon)",The teal trapezoid is south of the green pentagon.,"(teal trapezoid, south_of, green pentagon)",Locate the brown octagon in relation to the green pentagon.,northwest | northeast | southeast | southwest,northeast,southeast
CVR-060,data/construct_v2/images/e437c85f-a604-501f-90a0-0af14b0a202b.png,The amber triangle is west of the brown pentagon.,The brown pentagon is south of the gold octagon.,"(brown pentagon, south_of, gold octagon)",The brown pentagon is north of the gold octagon.,"(brown pentagon, north_of, gold octagon)",Where is the amber triangle relative to the gold octagon?,southwest | northwest | northeast | southeast,southwest,northwest
CVR-068,data/construct_v2_review/images/CVR-068.png,The coral triangle is west of the violet trapezoid.,The violet trapezoid is north of the teal oval.,"(violet trapezoid, north_of, teal oval)",The violet trapezoid is south of the teal oval.,"(violet trapezoid, south_of, teal oval)",Locate the coral triangle in relation to the teal oval.,northwest | northeast | southeast | southwest,northeast,southeast
