source_review_id,reviewer_1_review_id,reviewer_2_review_id,status,decoy_type,visual_first_hop_correct_reviewer_1,visual_first_hop_correct_reviewer_2,visual_first_hop_correct_agreement,bridge_entity_uniquely_identifiable_reviewer_1,bridge_entity_uniquely_identifiable_reviewer_2,bridge_entity_uniquely_identifiable_agreement,text_second_hop_correct_reviewer_1,text_second_hop_correct_reviewer_2,text_second_hop_correct_agreement,text_second_hop_not_visually_represented_reviewer_1,text_second_hop_not_visually_represented_reviewer_2,text_second_hop_not_visually_represented_agreement,conditions_differ_in_exactly_one_target_relation_reviewer_1,conditions_differ_in_exactly_one_target_relation_reviewer_2,conditions_differ_in_exactly_one_target_relation_agreement,no_direct_image_text_conflict_reviewer_1,no_direct_image_text_conflict_reviewer_2,no_direct_image_text_conflict_agreement,joint_answer_unique_reviewer_1,joint_answer_unique_reviewer_2,joint_answer_unique_agreement,image_alone_not_uniquely_sufficient_reviewer_1,image_alone_not_uniquely_sufficient_reviewer_2,image_alone_not_uniquely_sufficient_agreement,evidence_alone_not_uniquely_sufficient_reviewer_1,evidence_alone_not_uniquely_sufficient_reviewer_2,evidence_alone_not_uniquely_sufficient_agreement,nl_triples_fact_equivalent_reviewer_1,nl_triples_fact_equivalent_reviewer_2,nl_triples_fact_equivalent_agreement,critical_error_reviewer_1,critical_error_reviewer_2,critical_error_agreement,reviewer_1_notes,reviewer_2_notes
CVR-015,R1-26M2JL,R2-XN5C6M,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-016,R1-3LYY9K,R2-KYRYTZ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-017,R1-NLVGRE,R2-4QA2QV,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-018,R1-2SDAKA,R2-E4KMAD,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-019,R1-BU7X4L,R2-STRNU3,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-020,R1-FRFU3T,R2-A44SSD,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-021,R1-RNF3DL,R2-7ZMKNJ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-022,R1-TV7VPG,R2-HHHZSA,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-023,R1-SMSL9R,R2-KDAF7T,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-024,R1-KCX6BA,R2-6ZEYGJ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-025,R1-E494TD,R2-4BG6TQ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-026,R1-CW9QF4,R2-YP98VG,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-027,R1-53WR5G,R2-8EJLTW,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-028,R1-KWGA4X,R2-KJBP8L,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-029,R1-TNRYU4,R2-WMWW9Z,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-030,R1-QAMVPG,R2-WU2NVC,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-031,R1-W2BAZ9,R2-5P4H8B,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-032,R1-KYFTZY,R2-ABGNM8,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-033,R1-5B5GPK,R2-K4XHHG,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-034,R1-CSY4Y3,R2-G5Z2NF,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-035,R1-PEYFEW,R2-ELTDEK,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-036,R1-SHZ6H7,R2-KDGZWQ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-037,R1-27LLXT,R2-8QD68D,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-038,R1-QMLP8W,R2-SQ27EJ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-039,R1-9LV4ZS,R2-T2TMHJ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-040,R1-VBTHG6,R2-BDLET7,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-041,R1-D2AGJM,R2-SN9EMU,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-042,R1-QXMCTG,R2-ZEZAU3,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-043,R1-KQZ5ME,R2-LJWTU9,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-044,R1-VJK3YN,R2-B9DW7P,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-045,R1-42WGCX,R2-9KMXWZ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-046,R1-MPTTT3,R2-XEN56L,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-047,R1-RGUYMD,R2-ERBLS3,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-048,R1-YU866S,R2-U7GGXF,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-049,R1-Q7H6NU,R2-VMTT9T,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-050,R1-F2L5C2,R2-UAKWMY,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-051,R1-THDQH7,R2-NR5ZP9,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-052,R1-V766CB,R2-GV2LBE,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-053,R1-4YDFPW,R2-E6Q9ET,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-054,R1-UMGFXV,R2-JW98FL,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-055,R1-PGXXVU,R2-BXHD28,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-056,R1-74AABY,R2-B23KJG,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-057,R1-CC9XVF,R2-V6HWYQ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-058,R1-LH28FT,R2-JDRNL3,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-059,R1-DTWSH3,R2-KRM9Z5,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-060,R1-QFFMAL,R2-TMFFXY,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-061,R1-XFGKTU,R2-GK2UYJ,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-062,R1-L5B5PQ,R2-KXNWZE,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-063,R1-NBBHF5,R2-HSSY9A,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-064,R1-769N84,R2-UJYR3D,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-065,R1-D693BC,R2-3RHUQK,decoy,visual_first_hop_mismatch,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.
CVR-066,R1-QYUW8S,R2-AMSAGM,decoy,visual_first_hop_mismatch,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.
CVR-067,R1-KA4MHE,R2-68NP2L,decoy,visual_first_hop_mismatch,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.
CVR-068,R1-K5GCG4,R2-3WCZHD,decoy,visual_first_hop_mismatch,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.
CVR-069,R1-KTUJZA,R2-YSLVBW,decoy,ambiguous_bridge_entity,yes,yes,True,no,no,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,"Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent.","Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent."
CVR-070,R1-2HBUVY,R2-NG2CV9,decoy,ambiguous_bridge_entity,yes,yes,True,no,no,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,"Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent.","Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent."
CVR-071,R1-T63EWL,R2-DQHRFB,decoy,ambiguous_bridge_entity,yes,yes,True,no,no,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,"Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent.","Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent."
CVR-072,R1-R7P2V9,R2-2MF84Y,decoy,ambiguous_bridge_entity,yes,yes,True,no,no,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,"Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent.","Correct-evidence NL names the bridge entity or a distractor, while the triple names only the bridge; the bridge is not unique and the serializations are not fact-equivalent."
CVR-073,R1-4GJGF8,R2-3T5MQN,decoy,second_hop_visually_represented,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-074,R1-RL4C8G,R2-SPV2KJ,decoy,second_hop_visually_represented,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-075,R1-5T79XT,R2-ANLCPW,decoy,second_hop_visually_represented,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-076,R1-VTJ3ZP,R2-WFMBGH,decoy,second_hop_visually_represented,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-077,R1-A2KSZH,R2-NJXSLH,decoy,multi_fact_corruption,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,"Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast.","Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast."
CVR-078,R1-VCDVMD,R2-5NU82N,decoy,multi_fact_corruption,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,"Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast.","Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast."
CVR-079,R1-K548Z9,R2-D9SAW9,decoy,multi_fact_corruption,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,"Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast.","Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast."
CVR-080,R1-AT9VE4,R2-69KNNC,decoy,multi_fact_corruption,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,"Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast.","Corrupted condition changes the bridge entity as well as the target relation, so the pair is not an exactly-one-relation contrast."
